[2019-06-19 21:24:55.247972] INFO: do-macd-zq:  data risk => code=600535 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': True, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:25:07.745893] INFO: do-macd-zq:  data risk => code=600590 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:25:10.441023] INFO: do-macd-zq:  data risk => code=600602 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 0.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:25:16.338564] INFO: do-macd-zq:  data risk => code=600640 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:25:39.370849] INFO: do-macd-zq:  data risk => code=600747 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:25:43.191293] INFO: do-macd-zq:  data risk => code=600760 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:25:48.548190] INFO: do-macd-zq:  data risk => code=600776 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': True, 'DI_BEI_LI': True, 'DING_BEI_LI': False, 'SAN_JIN': True, 'DI_BEI_CI': 0.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:25:50.834461] INFO: do-macd-zq:  data risk => code=600781 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': True, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:25:52.491281] INFO: do-macd-zq:  data risk => code=600789 , value= {'flg': True, 'DI_JIN': False, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 0.0, 'DING_BEI_CI': 1.0} 
[2019-06-19 21:26:08.788184] INFO: do-macd-zq:  data risk => code=600835 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': True, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:26:15.519010] INFO: do-macd-zq:  data risk => code=600860 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 0.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:26:18.184232] INFO: do-macd-zq:  data risk => code=600867 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': True, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:26:43.818163] INFO: do-macd-zq:  data risk => code=601003 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': True, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:26:51.460851] INFO: do-macd-zq:  data risk => code=601100 , value= {'flg': True, 'DI_JIN': False, 'ER_JIN': False, 'DI_BEI_LI': True, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 0.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:26:53.880591] INFO: do-macd-zq:  data risk => code=601163 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:26:57.476138] INFO: do-macd-zq:  data risk => code=601225 , value= {'flg': True, 'DI_JIN': False, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:26:58.236589] INFO: do-macd-zq:  data risk => code=601231 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': True, 'DI_BEI_LI': True, 'DING_BEI_LI': False, 'SAN_JIN': True, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:27:08.974254] INFO: do-macd-zq:  data risk => code=601777 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:27:14.744257] INFO: do-macd-zq:  data risk => code=601966 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': True, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:27:16.312510] INFO: do-macd-zq:  data risk => code=601988 , value= {'flg': True, 'DI_JIN': False, 'ER_JIN': True, 'DI_BEI_LI': True, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:27:19.521254] INFO: do-macd-zq:  data risk => code=603010 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
[2019-06-19 21:27:23.974339] INFO: do-macd-zq:  data risk => code=603033 , value= {'flg': True, 'DI_JIN': True, 'ER_JIN': False, 'DI_BEI_LI': False, 'DING_BEI_LI': False, 'SAN_JIN': False, 'DI_BEI_CI': 1.0, 'DING_BEI_CI': 0.0} 
